val_sensitivity   , val_precision     , val_auroc         , epoch, val_loss           , step, val_specificity   , val_accuracy      , unlabeled_data_utilization, train_loss         , test_auroc        , test_specificity  , test_sensitivity  , test_precision    , test_accuracy
                  ,                   ,                   ,    49,                    , 1349,                   ,                   ,      0.2665442228317261   , 0.43504393100738525,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.8823529481887817, 0.8194069862365723,    50, 0.4585353136062622 , 1376, 0.9245282411575317, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    50,                    , 1376,                   ,                   ,      0.2857176959514618   , 0.4597450792789459 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8787878751754761, 0.8075022101402283,    51, 0.6191591024398804 , 1403, 0.9245282411575317, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    51,                    , 1403,                   ,                   ,      0.29084378480911255  , 0.430609792470932  ,                   ,                   ,                   ,                   ,  
0.6428571343421936, 0.931034505367279 , 0.8025606870651245,    52, 0.45931875705718994, 1430, 0.9622642397880554, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    52,                    , 1430,                   ,                   ,      0.2984564006328583   , 0.44951680302619934,                   ,                   ,                   ,                   ,  
0.6666666865348816, 0.9032257795333862, 0.8050314784049988,    53, 0.4384392499923706 , 1457, 0.9433962106704712, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    53,                    , 1457,                   ,                   ,      0.30244243144989014  , 0.43873706459999084,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8285714387893677, 0.7886343002319336,    54, 0.49850788712501526, 1484, 0.8867924809455872, 0.800000011920929 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    54,                    , 1484,                   ,                   ,      0.28592047095298767  , 0.4481416940689087 ,                   ,                   ,                   ,                   ,  
0.6190476417541504, 0.9285714626312256, 0.7906559109687805,    55, 0.45221707224845886, 1511, 0.9622642397880554, 0.8105263113975525,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    55,                    , 1511,                   ,                   ,      0.29790252447128296  , 0.45194870233535767,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.8333333134651184, 0.8005390167236328,    56, 0.5014391541481018 , 1538, 0.8867924809455872, 0.8105263113975525,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    56,                    , 1538,                   ,                   ,      0.2777564525604248   , 0.4414680004119873 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.90625           , 0.816936194896698 ,    57, 0.45960527658462524, 1565, 0.9433962106704712, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    57,                    , 1565,                   ,                   ,      0.28547054529190063  , 0.4450400769710541 ,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.9090909361839294, 0.828840970993042 ,    58, 0.45934969186782837, 1592, 0.9433962106704712, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    58,                    , 1592,                   ,                   ,      0.29646310210227966  , 0.45142367482185364,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.9117646813392639, 0.8407456874847412,    59, 0.3704904317855835 , 1619, 0.9433962106704712, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    59,                    , 1619,                   ,                   ,      0.316983699798584    , 0.4479559063911438 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8787878751754761, 0.8075022101402283,    60, 0.559339702129364  , 1646, 0.9245282411575317, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    60,                    , 1646,                   ,                   ,      0.3016059398651123   , 0.43213972449302673,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.9117646813392639, 0.8407456874847412,    61, 0.3651168942451477 , 1673, 0.9433962106704712, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    61,                    , 1673,                   ,                   ,      0.29659292101860046  , 0.45489639043807983,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.9090909361839294, 0.828840970993042 ,    62, 0.41238903999328613, 1700, 0.9433962106704712, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    62,                    , 1700,                   ,                   ,      0.3055390417575836   , 0.42656466364860535,                   ,                   ,                   ,                   ,  
0.761904776096344 , 0.8888888955116272, 0.8432164788246155,    63, 0.37721070647239685, 1727, 0.9245282411575317, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    63,                    , 1727,                   ,                   ,      0.2938951551914215   , 0.42658621072769165,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.9117646813392639, 0.8407456874847412,    64, 0.43096140027046204, 1754, 0.9433962106704712, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    64,                    , 1754,                   ,                   ,      0.3056323826313019   , 0.4115017354488373 ,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.8378377556800842, 0.8124438524246216,    65, 0.3995753526687622 , 1781, 0.8867924809455872, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    65,                    , 1781,                   ,                   ,      0.3074899911880493   , 0.4341810345649719 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8787878751754761, 0.8075022101402283,    66, 0.43258872628211975, 1808, 0.9245282411575317, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    66,                    , 1808,                   ,                   ,      0.3144580125808716   , 0.4204462468624115 ,                   ,                   ,                   ,                   ,  
0.761904776096344 , 0.8648648858070374, 0.8337825536727905,    67, 0.3600398302078247 , 1835, 0.9056603908538818, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    67,                    , 1835,                   ,                   ,      0.30350449681282043  , 0.41282445192337036,                   ,                   ,                   ,                   ,  
